runId,paper,mode,analyticalStance,agent,repetition,ec1_jaccard,ec1_missing,ec1_extra,ec3_score,ec3_agentScope,ec3_correct,ec5_score,ec5_keywordsFound,ec6_score,ec6_overclaim,ec6_overclamDegree,agentConfidence,agentClaimText
CS1_prospective_discovery-oriented_mistral_rep1,CS1,prospective,discovery-oriented,mistral,1,0.4,EI-CS1-03|EI-CS1-04|EI-CS1-05,,1.0,candidate,True,0.333,validation,1.0,False,0,0.9,20 mRNAs have been identified as potential breast cancer biomarkers with diagnostic performance (AUC
CS1_prospective_discovery-oriented_mistral_rep2,CS1,prospective,discovery-oriented,mistral,2,0.4,EI-CS1-03|EI-CS1-04|EI-CS1-05,,1.0,candidate,True,1.0,validation|clinical|generali,1.0,False,0,0.9,20 mRNAs have been identified as potential breast cancer biomarkers with diagnostic performance (AUC
CS1_prospective_discovery-oriented_mistral_rep3,CS1,prospective,discovery-oriented,mistral,3,0.4,EI-CS1-03|EI-CS1-04|EI-CS1-05,,1.0,candidate,True,1.0,validation|clinical|generali,1.0,False,0,0.9,20 mRNAs have been identified as potential breast cancer biomarkers with diagnostic performance (AUC
CS1_prospective_discovery-oriented_mistral_rep4,CS1,prospective,discovery-oriented,mistral,4,0.4,EI-CS1-03|EI-CS1-04|EI-CS1-05,,1.0,candidate,True,1.0,validation|clinical|generali,1.0,False,0,0.9,20 mRNAs have been identified as potential breast cancer biomarkers with diagnostic performance (AUC
CS1_prospective_discovery-oriented_mistral_rep5,CS1,prospective,discovery-oriented,mistral,5,0.4,EI-CS1-03|EI-CS1-04|EI-CS1-05,,1.0,candidate,True,1.0,validation|clinical|generali,1.0,False,0,0.9,20 mRNAs have been identified as potential breast cancer biomarkers with diagnostic performance (AUC
CS1_prospective_evidence-only_llama3_rep1,CS1,prospective,evidence-only,llama3,1,0.4,EI-CS1-03|EI-CS1-04|EI-CS1-05,,1.0,candidate,True,0.0,,1.0,False,0,0.8,20 mRNAs are differentially expressed in breast cancer tissue.
CS1_prospective_evidence-only_llama3_rep2,CS1,prospective,evidence-only,llama3,2,0.4,EI-CS1-03|EI-CS1-04|EI-CS1-05,,1.0,candidate,True,0.0,,1.0,False,0,0.8,20 mRNAs are differentially expressed in breast cancer tissue.
CS1_prospective_evidence-only_llama3_rep3,CS1,prospective,evidence-only,llama3,3,0.4,EI-CS1-03|EI-CS1-04|EI-CS1-05,,1.0,candidate,True,0.0,,1.0,False,0,0.8,20 mRNAs are differentially expressed in breast cancer tissue.
CS1_prospective_evidence-only_llama3_rep4,CS1,prospective,evidence-only,llama3,4,0.4,EI-CS1-03|EI-CS1-04|EI-CS1-05,,1.0,candidate,True,0.0,,1.0,False,0,0.8,20 mRNAs are differentially expressed in breast cancer tissue.
CS1_prospective_evidence-only_llama3_rep5,CS1,prospective,evidence-only,llama3,5,0.4,EI-CS1-03|EI-CS1-04|EI-CS1-05,,1.0,candidate,True,0.0,,1.0,False,0,0.8,20 mRNAs are differentially expressed in breast cancer tissue.
CS1_prospective_evidence-only_mistral_rep1,CS1,prospective,evidence-only,mistral,1,0.4,EI-CS1-03|EI-CS1-04|EI-CS1-05,,0.5,exploratory,False,1.0,validation|clinical|generali,1.0,False,0,1.0,"1,445 mRNAs were identified as significantly differentially expressed between breast cancer and adja"
CS1_prospective_evidence-only_mistral_rep2,CS1,prospective,evidence-only,mistral,2,0.4,EI-CS1-03|EI-CS1-04|EI-CS1-05,,0.5,exploratory,False,1.0,validation|clinical|generali,1.0,False,0,1.0,"1,445 mRNAs were identified as significantly differentially expressed between breast cancer and adja"
CS1_prospective_evidence-only_mistral_rep3,CS1,prospective,evidence-only,mistral,3,0.4,EI-CS1-03|EI-CS1-04|EI-CS1-05,,0.5,exploratory,False,1.0,validation|clinical|generali,1.0,False,0,1.0,"1,445 mRNAs were identified as significantly differentially expressed between breast cancer and adja"
CS1_prospective_evidence-only_mistral_rep4,CS1,prospective,evidence-only,mistral,4,0.4,EI-CS1-03|EI-CS1-04|EI-CS1-05,,0.5,exploratory,False,1.0,validation|clinical|generali,1.0,False,0,1.0,"1,445 mRNAs were identified as significantly differentially expressed between breast cancer and adja"
CS1_prospective_evidence-only_mistral_rep5,CS1,prospective,evidence-only,mistral,5,0.4,EI-CS1-03|EI-CS1-04|EI-CS1-05,,0.5,exploratory,False,1.0,validation|clinical|generali,1.0,False,0,1.0,"1,445 mRNAs were identified as significantly differentially expressed between breast cancer and adja"
CS1_retrospective_llama3_rep1,CS1,retrospective,N/A (retrospective),llama3,1,0.4,EI-CS1-01|EI-CS1-02|EI-CS1-03,,1.0,candidate,True,0.333,validation,1.0,False,0,0.8,"The EPN3 gene is a promising breast cancer biomarker candidate, exhibiting stage-correlated upregula"
CS1_retrospective_llama3_rep2,CS1,retrospective,N/A (retrospective),llama3,2,0.4,EI-CS1-01|EI-CS1-02|EI-CS1-03,,1.0,candidate,True,0.333,validation,1.0,False,0,0.8,"The EPN3 gene is a promising breast cancer biomarker candidate, exhibiting stage-correlated upregula"
CS1_retrospective_llama3_rep3,CS1,retrospective,N/A (retrospective),llama3,3,0.4,EI-CS1-01|EI-CS1-02|EI-CS1-03,,1.0,candidate,True,0.333,validation,1.0,False,0,0.8,"The EPN3 gene is a promising breast cancer biomarker candidate, exhibiting stage-correlated upregula"
CS1_retrospective_llama3_rep4,CS1,retrospective,N/A (retrospective),llama3,4,0.4,EI-CS1-01|EI-CS1-02|EI-CS1-03,,1.0,candidate,True,0.333,validation,1.0,False,0,0.8,"The EPN3 gene is a promising breast cancer biomarker candidate, exhibiting stage-correlated upregula"
CS1_retrospective_llama3_rep5,CS1,retrospective,N/A (retrospective),llama3,5,0.4,EI-CS1-01|EI-CS1-02|EI-CS1-03,,1.0,candidate,True,0.333,validation,1.0,False,0,0.8,"The EPN3 gene is a promising breast cancer biomarker candidate, exhibiting stage-correlated upregula"
CS1_retrospective_mistral_rep1,CS1,retrospective,N/A (retrospective),mistral,1,0.4,EI-CS1-01|EI-CS1-02|EI-CS1-03,,1.0,candidate,True,0.333,validation,1.0,False,0,0.8,"EPN3 is a potential breast cancer biomarker candidate, as it shows significant stage-correlated upre"
CS1_retrospective_mistral_rep2,CS1,retrospective,N/A (retrospective),mistral,2,0.4,EI-CS1-01|EI-CS1-02|EI-CS1-03,,1.0,candidate,True,0.333,validation,1.0,False,0,0.8,"EPN3 is a potential breast cancer biomarker candidate, as it shows significant stage-correlated upre"
CS1_retrospective_mistral_rep3,CS1,retrospective,N/A (retrospective),mistral,3,0.4,EI-CS1-01|EI-CS1-02|EI-CS1-03,,1.0,candidate,True,0.333,validation,1.0,False,0,0.8,"EPN3 is a potential breast cancer biomarker candidate, as it shows significant stage-correlated upre"
CS1_retrospective_mistral_rep4,CS1,retrospective,N/A (retrospective),mistral,4,0.4,EI-CS1-01|EI-CS1-02|EI-CS1-03,,1.0,candidate,True,0.333,validation,1.0,False,0,0.8,"EPN3 is a potential breast cancer biomarker candidate, as it shows significant stage-correlated upre"
CS1_retrospective_mistral_rep5,CS1,retrospective,N/A (retrospective),mistral,5,0.4,EI-CS1-01|EI-CS1-02|EI-CS1-03,,1.0,candidate,True,0.333,validation,1.0,False,0,0.8,"EPN3 is a potential breast cancer biomarker candidate, as it shows significant stage-correlated upre"
CS2_prospective_conservative_llama3_rep1,CS2,prospective,conservative,llama3,1,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,1.0,exploratory,True,0.5,generaliz|TCGA,1.0,False,0,0.7,High heterogeneity is a major challenge in generalizing differential expression results from RNA-Seq
CS2_prospective_conservative_llama3_rep2,CS2,prospective,conservative,llama3,2,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,1.0,exploratory,True,0.5,generaliz|TCGA,1.0,False,0,0.7,High heterogeneity is a major challenge in generalizing differential expression results from RNA-Seq
CS2_prospective_conservative_llama3_rep3,CS2,prospective,conservative,llama3,3,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,1.0,exploratory,True,0.5,generaliz|TCGA,1.0,False,0,0.7,High heterogeneity is a major challenge in generalizing differential expression results from RNA-Seq
CS2_prospective_conservative_llama3_rep4,CS2,prospective,conservative,llama3,4,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,1.0,exploratory,True,0.5,generaliz|TCGA,1.0,False,0,0.7,High heterogeneity is a major challenge in generalizing differential expression results from RNA-Seq
CS2_prospective_conservative_llama3_rep5,CS2,prospective,conservative,llama3,5,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,1.0,exploratory,True,0.5,generaliz|TCGA,1.0,False,0,0.7,High heterogeneity is a major challenge in generalizing differential expression results from RNA-Seq
CS2_prospective_conservative_mistral_rep1,CS2,prospective,conservative,mistral,1,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,1.0,exploratory,True,0.25,replicate,1.0,False,0,0.8,"The overlap rate among differential expression (DE) repeats is low, suggesting a high degree of vari"
CS2_prospective_conservative_mistral_rep2,CS2,prospective,conservative,mistral,2,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,1.0,exploratory,True,0.25,replicate,1.0,False,0,0.8,"The overlap rate among differential expression (DE) repeats is low, suggesting a high degree of vari"
CS2_prospective_conservative_mistral_rep3,CS2,prospective,conservative,mistral,3,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,1.0,exploratory,True,0.25,replicate,1.0,False,0,0.8,"The overlap rate among differential expression (DE) repeats is low, suggesting a high degree of vari"
CS2_prospective_conservative_mistral_rep4,CS2,prospective,conservative,mistral,4,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,1.0,exploratory,True,0.25,replicate,1.0,False,0,0.8,"The overlap rate among differential expression (DE) repeats is low, suggesting a high degree of vari"
CS2_prospective_conservative_mistral_rep5,CS2,prospective,conservative,mistral,5,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,1.0,exploratory,True,0.25,replicate,1.0,False,0,0.8,"The overlap rate among differential expression (DE) repeats is low, suggesting a high degree of vari"
CS2_prospective_discovery-oriented_llama3_rep1,CS2,prospective,discovery-oriented,llama3,1,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,0.0,validated,False,0.25,generaliz,0.0,True,2,0.9,High heterogeneity in RNA-seq data undermines generalization of differential expression results.
CS2_prospective_discovery-oriented_llama3_rep2,CS2,prospective,discovery-oriented,llama3,2,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,0.0,validated,False,0.25,generaliz,0.0,True,2,0.9,High heterogeneity in RNA-seq data undermines generalization of differential expression results.
CS2_prospective_discovery-oriented_llama3_rep3,CS2,prospective,discovery-oriented,llama3,3,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,0.0,validated,False,0.25,generaliz,0.0,True,2,0.9,High heterogeneity in RNA-seq data undermines generalization of differential expression results.
CS2_prospective_discovery-oriented_llama3_rep4,CS2,prospective,discovery-oriented,llama3,4,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,0.0,validated,False,0.25,generaliz,0.0,True,2,0.9,High heterogeneity in RNA-seq data undermines generalization of differential expression results.
CS2_prospective_discovery-oriented_llama3_rep5,CS2,prospective,discovery-oriented,llama3,5,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,0.0,validated,False,0.25,generaliz,0.0,True,2,0.9,High heterogeneity in RNA-seq data undermines generalization of differential expression results.
CS2_prospective_discovery-oriented_mistral_rep1,CS2,prospective,discovery-oriented,mistral,1,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,0.0,validated,False,0.0,,0.0,True,2,1.0,"The overlap rate among differential expression (DE) repeats is low, with less than 40% overlap at ma"
CS2_prospective_discovery-oriented_mistral_rep2,CS2,prospective,discovery-oriented,mistral,2,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,0.0,validated,False,0.5,generaliz|TCGA,0.0,True,2,1.0,"The overlap rate among differential expression (DE) repeats is low, with less than 40% overlap at ma"
CS2_prospective_discovery-oriented_mistral_rep3,CS2,prospective,discovery-oriented,mistral,3,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,0.0,validated,False,0.5,generaliz|TCGA,0.0,True,2,1.0,"The overlap rate among differential expression (DE) repeats is low, with less than 40% overlap at ma"
CS2_prospective_discovery-oriented_mistral_rep4,CS2,prospective,discovery-oriented,mistral,4,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,0.0,validated,False,0.5,generaliz|TCGA,0.0,True,2,1.0,"The overlap rate among differential expression (DE) repeats is low, with less than 40% overlap at ma"
CS2_prospective_discovery-oriented_mistral_rep5,CS2,prospective,discovery-oriented,mistral,5,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,0.0,validated,False,0.5,generaliz|TCGA,0.0,True,2,1.0,"The overlap rate among differential expression (DE) repeats is low, with less than 40% overlap at ma"
CS2_prospective_evidence-only_llama3_rep1,CS2,prospective,evidence-only,llama3,1,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,0.0,validated,False,0.0,,0.0,True,2,1.0,High heterogeneity undermines generalization of differential expression results in RNA-Seq analysis.
CS2_prospective_evidence-only_llama3_rep2,CS2,prospective,evidence-only,llama3,2,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,0.0,validated,False,0.0,,0.0,True,2,1.0,High heterogeneity undermines generalization of differential expression results in RNA-Seq analysis.
CS2_prospective_evidence-only_llama3_rep3,CS2,prospective,evidence-only,llama3,3,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,0.0,validated,False,0.0,,0.0,True,2,1.0,High heterogeneity undermines generalization of differential expression results in RNA-Seq analysis.
CS2_prospective_evidence-only_llama3_rep4,CS2,prospective,evidence-only,llama3,4,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,0.0,validated,False,0.0,,0.0,True,2,1.0,High heterogeneity undermines generalization of differential expression results in RNA-Seq analysis.
CS2_prospective_evidence-only_llama3_rep5,CS2,prospective,evidence-only,llama3,5,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,0.0,validated,False,0.0,,0.0,True,2,1.0,High heterogeneity undermines generalization of differential expression results in RNA-Seq analysis.
CS2_prospective_evidence-only_mistral_rep1,CS2,prospective,evidence-only,mistral,1,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,1.0,exploratory,True,0.25,replicate,0.0,True,0,1.0,The overlap rate among four differential expression (DE) repeats is below 40% for all three cancer t
CS2_prospective_evidence-only_mistral_rep2,CS2,prospective,evidence-only,mistral,2,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,1.0,exploratory,True,0.25,replicate,0.0,True,0,1.0,The overlap rate among four differential expression (DE) repeats is below 40% for all three cancer t
CS2_prospective_evidence-only_mistral_rep3,CS2,prospective,evidence-only,mistral,3,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,1.0,exploratory,True,0.25,replicate,0.0,True,0,1.0,The overlap rate among four differential expression (DE) repeats is below 40% for all three cancer t
CS2_prospective_evidence-only_mistral_rep4,CS2,prospective,evidence-only,mistral,4,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,1.0,exploratory,True,0.25,replicate,0.0,True,0,1.0,The overlap rate among four differential expression (DE) repeats is below 40% for all three cancer t
CS2_prospective_evidence-only_mistral_rep5,CS2,prospective,evidence-only,mistral,5,0.333,EI-CS2-03|EI-CS2-04|EI-CS2-05|EI-CS2-06,,1.0,exploratory,True,0.25,replicate,0.0,True,0,1.0,The overlap rate among four differential expression (DE) repeats is below 40% for all three cancer t
CS2_retrospective_llama3_rep1,CS2,retrospective,N/A (retrospective),llama3,1,1.0,,,0.0,validated,False,0.0,,0.0,True,2,0.9,High biological variability and outlier counts undermine generalization of differential expression r
CS2_retrospective_llama3_rep2,CS2,retrospective,N/A (retrospective),llama3,2,1.0,,,0.0,validated,False,0.0,,0.0,True,2,0.9,High biological variability and outlier counts undermine generalization of differential expression r
CS2_retrospective_llama3_rep3,CS2,retrospective,N/A (retrospective),llama3,3,1.0,,,0.0,validated,False,0.0,,0.0,True,2,0.9,High biological variability and outlier counts undermine generalization of differential expression r
CS2_retrospective_llama3_rep4,CS2,retrospective,N/A (retrospective),llama3,4,1.0,,,0.0,validated,False,0.0,,0.0,True,2,0.9,High biological variability and outlier counts undermine generalization of differential expression r
CS2_retrospective_llama3_rep5,CS2,retrospective,N/A (retrospective),llama3,5,1.0,,,0.0,validated,False,0.0,,0.0,True,2,0.9,High biological variability and outlier counts undermine generalization of differential expression r
CS2_retrospective_mistral_rep1,CS2,retrospective,N/A (retrospective),mistral,1,0.833,EI-CS2-03,,0.0,validated,False,0.0,,0.0,True,2,1.0,The high biological variability in tumour tissue samples from individual cancer patients undermines 
CS2_retrospective_mistral_rep2,CS2,retrospective,N/A (retrospective),mistral,2,0.833,EI-CS2-03,,0.0,validated,False,0.0,,0.0,True,2,1.0,The high biological variability in tumour tissue samples from individual cancer patients undermines 
CS2_retrospective_mistral_rep3,CS2,retrospective,N/A (retrospective),mistral,3,0.833,EI-CS2-03,,0.0,validated,False,0.0,,0.0,True,2,1.0,The high biological variability in tumour tissue samples from individual cancer patients undermines 
CS2_retrospective_mistral_rep4,CS2,retrospective,N/A (retrospective),mistral,4,0.833,EI-CS2-03,,0.0,validated,False,0.0,,0.0,True,2,1.0,The high biological variability in tumour tissue samples from individual cancer patients undermines 
CS2_retrospective_mistral_rep5,CS2,retrospective,N/A (retrospective),mistral,5,0.833,EI-CS2-03,,0.0,validated,False,0.0,,0.0,True,2,1.0,The high biological variability in tumour tissue samples from individual cancer patients undermines 
CS3_prospective_conservative_llama3_rep1,CS3,prospective,conservative,llama3,1,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,0.5,exploratory,False,0.0,,1.0,False,0,0.7,"BRCA1/2-mutant breast cancer is characterized by dysregulation of cell cycle regulation gene sets, w"
CS3_prospective_conservative_llama3_rep2,CS3,prospective,conservative,llama3,2,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,0.5,exploratory,False,0.0,,1.0,False,0,0.7,"BRCA1/2-mutant breast cancer is characterized by dysregulation of cell cycle regulation gene sets, w"
CS3_prospective_conservative_llama3_rep3,CS3,prospective,conservative,llama3,3,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,0.5,exploratory,False,0.0,,1.0,False,0,0.7,"BRCA1/2-mutant breast cancer is characterized by dysregulation of cell cycle regulation gene sets, w"
CS3_prospective_conservative_llama3_rep4,CS3,prospective,conservative,llama3,4,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,0.5,exploratory,False,0.0,,1.0,False,0,0.7,"BRCA1/2-mutant breast cancer is characterized by dysregulation of cell cycle regulation gene sets, w"
CS3_prospective_conservative_llama3_rep5,CS3,prospective,conservative,llama3,5,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,0.5,exploratory,False,0.0,,1.0,False,0,0.7,"BRCA1/2-mutant breast cancer is characterized by dysregulation of cell cycle regulation gene sets, w"
CS3_prospective_conservative_mistral_rep1,CS3,prospective,conservative,mistral,1,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,0.5,exploratory,False,0.2,validation,1.0,False,0,0.6,"In the exploratory context of this study, cell cycle regulation gene sets were significantly enriche"
CS3_prospective_conservative_mistral_rep2,CS3,prospective,conservative,mistral,2,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,0.5,exploratory,False,0.2,validation,1.0,False,0,0.6,"In the exploratory context of biomarker discovery, cell cycle regulation gene sets are significantly"
CS3_prospective_conservative_mistral_rep3,CS3,prospective,conservative,mistral,3,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,0.5,exploratory,False,0.2,validation,1.0,False,0,0.6,"In the exploratory context of biomarker discovery, cell cycle regulation gene sets are significantly"
CS3_prospective_conservative_mistral_rep4,CS3,prospective,conservative,mistral,4,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,0.5,exploratory,False,0.2,validation,1.0,False,0,0.6,"In the exploratory context of biomarker discovery, cell cycle regulation gene sets are significantly"
CS3_prospective_conservative_mistral_rep5,CS3,prospective,conservative,mistral,5,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,0.5,exploratory,False,0.2,validation,1.0,False,0,0.6,"In the exploratory context of biomarker discovery, cell cycle regulation gene sets are significantly"
CS3_prospective_discovery-oriented_llama3_rep1,CS3,prospective,discovery-oriented,llama3,1,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,1.0,candidate,True,0.2,validation,1.0,False,0,0.8,"BRCA1/2-mutant breast cancer is characterized by dysregulation of cell cycle regulation genes, with "
CS3_prospective_discovery-oriented_llama3_rep2,CS3,prospective,discovery-oriented,llama3,2,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,1.0,candidate,True,0.2,validation,1.0,False,0,0.8,"BRCA1/2-mutant breast cancer is characterized by dysregulation of cell cycle regulation genes, with "
CS3_prospective_discovery-oriented_llama3_rep3,CS3,prospective,discovery-oriented,llama3,3,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,1.0,candidate,True,0.2,validation,1.0,False,0,0.8,"BRCA1/2-mutant breast cancer is characterized by dysregulation of cell cycle regulation genes, with "
CS3_prospective_discovery-oriented_llama3_rep4,CS3,prospective,discovery-oriented,llama3,4,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,1.0,candidate,True,0.2,validation,1.0,False,0,0.8,"BRCA1/2-mutant breast cancer is characterized by dysregulation of cell cycle regulation genes, with "
CS3_prospective_discovery-oriented_llama3_rep5,CS3,prospective,discovery-oriented,llama3,5,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,1.0,candidate,True,0.2,validation,1.0,False,0,0.8,"BRCA1/2-mutant breast cancer is characterized by dysregulation of cell cycle regulation genes, with "
CS3_prospective_discovery-oriented_mistral_rep1,CS3,prospective,discovery-oriented,mistral,1,0.286,EI-CS3-03|EI-CS3-04|EI-CS3-05|EI-CS3-06|EI-CS3-07,,1.0,candidate,True,0.4,validation|experimental,1.0,False,0,0.8,The study identifies significant enrichment of cell cycle regulation gene sets and differential expr
